+------------------------------------------+
|    X    |    Y    |          P           |
|  225.000|  225.000|-2.504800083771756e+13|
|  243.750|  225.000|-1.786173191783371e+13|
|  262.500|  225.000|-1.154292819236756e+13|
|  281.250|  225.000|-5.673878583616574e+12|
|  300.000|  225.000| 1.317225000000000e+07|
|    0.000|  243.750| 1.317225000000000e+07|
|   18.750|  243.750|-3.027408400152895e+12|
|   37.500|  243.750|-6.268406407838860e+12|
|   56.250|  243.750|-9.972706415308887e+12|
|   75.000|  243.750|-1.447592744337544e+13|
|   93.750|  243.750|-2.028911878034134e+13|
|  112.500|  243.750|-2.831162491473143e+13|
|  131.250|  243.750|-4.046564339398243e+13|
|  150.000|  243.750|-6.408860055160196e+13|
|  168.750|  243.750|-6.428923004028920e+13|
|  187.500|  243.750|-4.099747252403215e+13|
|  206.250|  243.750|-2.897979361096283e+13|
|  225.000|  243.750|-2.081377351695779e+13|
|  243.750|  243.750|-1.454150345017288e+13|
|  262.500|  243.750|-9.270585289485816e+12|
|  281.250|  243.750|-4.522557210080465e+12|
|  300.000|  243.750| 1.317225000000000e+07|
|    0.000|  262.500| 1.317225000000000e+07|
|   18.750|  262.500|-2.151199009870381e+12|
|   37.500|  262.500|-4.468220105177816e+12|
|   56.250|  262.500|-7.146726395258060e+12|
|   75.000|  262.500|-1.044921507158042e+13|
|   93.750|  262.500|-1.475284906877428e+13|
|  112.500|  262.500|-2.058525051194874e+13|
|  131.250|  262.500|-2.859617004730032e+13|
|  150.000|  262.500|-3.477817958374975e+13|
|  168.750|  262.500|-3.487709730912932e+13|
|  187.500|  262.500|-2.885319787509301e+13|
|  206.250|  262.500|-2.088878924902131e+13|
|  225.000|  262.500|-1.493941827914860e+13|
|  243.750|  262.500|-1.032897782989159e+13|
|  262.500|  262.500|-6.526611737980344e+12|
|  281.250|  262.500|-3.166493393943457e+12|
|  300.000|  262.500| 1.317225000000000e+07|
|    0.000|  281.250| 1.317225000000000e+07|
|   18.750|  281.250|-1.118327770704629e+12|
|   37.500|  281.250|-2.327268911838852e+12|
|   56.250|  281.250|-3.733717530449926e+12|
|   75.000|  281.250|-5.478349276494229e+12|
|   93.750|  281.250|-7.744325662641144e+12|
|  112.500|  281.250|-1.068898088908149e+13|
|  131.250|  281.250|-1.383329133873746e+13|
|  150.000|  281.250|-1.601778919456934e+13|
|  168.750|  281.250|-1.605761479438786e+13|
|  187.500|  281.250|-1.393469390931143e+13|
|  206.250|  281.250|-1.080089156360990e+13|
|  225.000|  281.250|-7.791072713054866e+12|
